title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
La Copa,Ozuna,1,37019949,87,7,0.913,0.803,0,-3.911,1,0.0353,0.116,0.000275,0.111,0.947,126.016,154628,0.11025,147.68472,4,False,57,puerto rican pop,2022-09-14,No
Play K-391,SuzannaVicii,1,83,7,12,0.772,0.874,9,-3.759,1,0.116,0.0502,0.0137,0.572,0.384,128.009,237666,0.0,231.9093,4,False,19,desconocido,2020-10-03,No
Prisoners,Carlos Jean,3,24071,31.666666666666668,11,0.507,0.824,4,-4.537,1,0.0301,0.00549,0.00379,0.276,0.277,128.025,249375,4.94585,237.2673,4,False,29,electro latino,2013-03-12,No
Mañana,Alvaro Soler,2,2815689,67.5,8,0.705,0.847,0,-5.194,0,0.0747,0.197,0,0.152,0.824,92.966,212173,0.16921,205.8449,4,False,54,latin pop,2021-07-09,No
Right Here Right Now (Neon) - Radio Edit,Sander van Doorn,1,363474,49,10,0.559,0.868,6,-4.031,1,0.0403,0.0372,0,0.518,0.618,127.063,207107,0.0,198.13586,4,False,27,dutch house,2014-02-24,No
Mile Away,Capital Lights,1,24762,34,7,0.776,0.519,5,-7.098,1,0.0295,0.138,0,0.107,0.606,117.995,223400,2.46712,215.08063,4,False,34,christian alternative rock,2008-01-01,No
Malbec Vs Waiting For Love (Lollapalooza Edit) - Remix,Muppet DJ,1,26010,63,13,0.532,0.633,9,-7.173,0,0.0398,0.33,1.23e-05,0.11,0.719,128.052,219505,0.21501,209.00862,4,False,44,cumbia 420,2022-03-23,No
Bambino,Recycled J,2,114090.5,59,7,0.66,0.773,4,-6.193,1,0.321,0.354,0,0.0763,0.288,179.94,156000,0.0,144.73578,4,True,42,spanish hip hop,2018-11-16,No
The Lovecats,The Cure,1,4570150,76,10,0.747,0.571,9,-12.9,0,0.086,0.48,1.05e-06,0.242,0.965,91.838,220093,0.24363,214.72653,4,False,64,new wave,1983-01-01,No
Where Did You Go?,Jax Jones,2,697679,72,11,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,177689,0.0,173.63882,4,False,38,dance pop,2022-04-22,No
No Man No Cry - Jimmy Sax Version,Oliver Koletzki,2,239635.5,52.5,15,0.776,0.601,5,-9.553,1,0.0848,0.127,0.611,0.127,0.347,121.992,419500,2.33361,410.8829,4,False,59,german techno,2017-08-30,No
Let's Twist Again (Remastered),Chubby Checker,1,313804,55,6,0.576,0.754,3,-5.648,1,0.0579,0.0607,0,0.0753,0.947,164.882,139584,0.18594,135.95863,4,False,37,rock-and-roll,2011-05-10,No
Miracle In The Middle Of My Heart,Clément Bcx,1,2653,41,8,0.757,0.627,10,-6.441,1,0.0284,0.42,0.000868,0.117,0.212,115.017,174261,0.0,168.66975,4,False,61,deep tropical house,2015-10-06,No
Gotta Give Me (feat. Sebastiën),Saco,2,5526.5,53.5,8,0.865,0.714,8,-7.342,0,0.038,0.465,0,0.126,0.752,115.048,199017,0.0,195.51782,4,False,37,tropical house,2022-06-03,No
First Rodeo,Cooper Alan,3,149382.66666666666,51,9,0.679,0.786,2,-7.289,1,0.177,0.19,0,0.289,0.664,114.146,186961,0.0,181.6439,4,False,63,modern country pop,2022-07-08,No
Jamais (feat. Dadju),Ninho,2,6644650,75,10,0.596,0.709,4,-6.256,0,0.319,0.492,0,0.124,0.333,94.162,229123,0.15642,223.50368,4,True,62,french hip hop,2019-03-22,No
Love Runs Deeper - Disney supporting Make-A-Wish,Gregory Porter,2,298684,45,8,0.3,0.601,5,-7.036,0,0.0396,0.106,0,0.332,0.516,82.287,162752,0.07247,151.12708,4,False,37,contemporary vocal jazz,2021-11-05,No
Airplanes (feat. Hayley Williams of Paramore),B.o.B,2,1368828,67.5,7,0.66,0.846,6,-5.252,0,0.124,0.113,0,0.0459,0.417,93.027,179800,0.3083,175.41515,4,False,40,atl hip hop,2016-10-14,No
Remember Our Summer,Frogmonster,1,2520,42,5,0.64,0.835,3,-4.533,1,0.0373,0.00531,0.000148,0.381,0.24,127.992,163125,2.59483,149.43202,4,False,58,desconocido,2019-08-26,No
Questions,Lost Frequencies,2,7353655.5,78.5,10,0.599,0.713,11,-7.008,1,0.0542,0.405,2.53e-05,0.266,0.518,123.962,177157,0.06939,171.89732,4,False,71,belgian edm,2022-06-03,No
Unity,The Walkers,2,19137881,63,8,0.61,0.661,11,-6.801,1,0.0334,0.093,2.14e-05,0.11,0.197,114.894,204533,0.24363,196.44662,4,False,66,desconocido,2022-06-03,No
I'm Not Going Anywhere,Wulf,1,29795,51,6,0.62,0.516,5,-11.567,1,0.0526,0.367,0.00194,0.17,0.55,169.936,179168,0.22635,174.58504,4,False,45,dutch pop,2021-02-26,No
Freeze,Kygo,1,8372881,79,17,0.363,0.486,4,-10.905,1,0.0624,0.827,0.0445,0.11,0.0923,111.078,487359,2.95474,455.5233,4,False,62,edm,2022-05-06,No
Goofy Goober Rock,Spongebob Squarepants,1,335125,53,11,0.522,0.863,2,-6.195,1,0.029,1.36e-05,0.0129,0.202,0.615,105.997,174027,0.35415,158.99283,4,False,48,cartoon,2001,No
Understand,BoyWithUke,1,3413498,74,7,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051,171947,0.3249,166.31293,4,True,75,sad rap,2022-05-06,No
Noche de Party,Migrantes,2,157710,70.5,10,0.719,0.786,11,-4.786,0,0.0503,0.203,0,0.367,0.829,130.039,152942,0.33664,146.77914,4,False,58,cumbia pop,2021-11-11,No
Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack,Trinidad Cardona,4,828128.25,62,8,0.733,0.829,2,-3.302,1,0.0375,0.401,0,0.403,0.623,128.938,206070,6.01397,197.99075,4,False,66,sped up,2022-04-01,No
